ッキャー|kkyā
ッシャー|sshā
ッチャー|tchā
ッニャー|nnyā
ンニャー|n'nyā
ッヒャー|hhyā
ッミャー|mmyā
ッリャー|rryā
ッギャー|ggyā
ッジャー|jjā
ッヂャー|ddjā
ッビャー|bbyā
ッピャー|ppyā
ッキュー|kkyū
ッシュー|sshū
ッチュー|tchū
ッニュー|nnyū
ンニュー|n'nyū
ッヒュー|hhyū
ッミュー|mmyū
ッリュー|rryū
ッギュー|ggyū
ッジュー|jjū
ッヂュー|ddjū
ッビュー|bbyū
ッピュー|ppyū
ッキョー|kkyō
ッショー|sshō
ッチョー|tchō
ッニョー|nnyō
ンニョー|n'nyō
ッヒョー|hhyō
ッミョー|mmyō
ッリョー|rryō
ッギョー|ggyō
ッジョー|jjō
ッヂョー|ddjō
ッビョー|bbyō
ッピョー|ppyō
ッヴァー|~tsuvu~ā
ッツァー|ttsu~ā
ッファー|ffā
ッウィー|~tsuu~ī
ッヴィー|~tsuvu~ī
ッティー|tī
ッディー|ddī
ッツィー|ttsu~ī
ッフィー|ffī
ットゥー|tto~ū
ッテュー|tte~yū
ッドゥー|ddo~ū
ッデュー|dde~yū
ッフュー|ffu~yū
ッイェー|~tsui~ē
ッウェー|~tsu~ē
ッヴェー|~tsivu~ē
ッシェー|sshē
ッジェー|jjē
ッチェー|tchē
ッツェー|ttsu~ē
ッフェー|ffē
ッウォー|~tsuu~ō
ッヴォー|~tsuvu~ō
ッツォー|ttsu~ō
ッフォー|ffō
キャー|kyā
シャー|shā
チャー|chā
ニャー|nyā
ヒャー|hyā
ミャー|myā
リャー|ryā
ギャー|gyā
ジャー|jā
ヂャー|djā
ビャー|byā
ピャー|pyā
キュー|kyū
シュー|shū
チュー|chū
ニュー|nyū
ヒュー|hyū
ミュー|myū
リュー|ryū
ギュー|gyū
ジュー|jū
ヂュー|djū
ビュー|byū
ピュー|pyū
キョー|kyō
ショー|shō
チョー|chō
ニョー|nyō
ヒョー|hyō
ミョー|myō
リョー|ryō
ギョー|gyō
ジョー|jō
ヂョー|djō
ビョー|byō
ピョー|pyō
ヴァー|vu~ā
ツァー|tsu~ā
ファー|fā
ウィー|u~ī
ヴィー|vu~ī
ティー|tī
ディー|dī
ツィー|tsu~ī
フィー|fī
トゥー|to~ū
テュー|te~yū
ドゥー|do~ū
デュー|de~yū
フュー|fu~yū
イェー|i~ē
ウェー|u~ē
ヴェー|vu~ē
シェー|shē
ジェー|jē
チェー|chē
ツェー|tsu~ē
フェー|fē
ウォー|u~ō
ヴォー|vu~ō
ツォー|tsu~ō
フォー|fō
ッキャ|kkya
ッシャ|ssha
ッチャ|ycha
ッニャ|nnya
ンニャ|n'nya
ッヒャ|hhya
ッミャ|mmya
ッリャ|rrya
ッギャ|ggya
ッジャ|jja
ッヂャ|ddja
ッビャ|bbya
ッピャ|ppya
ッキュ|kkyu
ッシュ|sshu
ッチュ|tchu
ッニュ|nnyu
ンニュ|n'nyu
ッヒュ|hhyu
ッミュ|mmyu
ッリュ|rryu
ッギュ|gyu
ッジュ|ju
ッヂュ|dju
ッビュ|bbyu
ッピュ|ppyu
ッキョ|kkyo
ッショ|ssho
ッチョ|ccho
ッニョ|nnyo
ンニョ|n'nyo
ッヒョ|hhyo
ッミョ|mmyo
ッリョ|rryo
ッギョ|ggyo
ッジョ|jjo
ッヂョ|ddjo
ッビョ|bbyo
ッピョ|ppyo
ッヴァ|~tsuvu~a
ッツァ|ttsu~a
ッファ|ffa
ッウィ|~tsuu~i
ッヴィ|~tsuvu~i
ッティ|tti
ッディ|ddi
ッツィ|ttsu~i
ッフィ|ffi
ットゥ|tto~u
ッテュ|tte~yu
ッドゥ|ddo~u
ッデュ|dde~yu
ッフュ|ffu~yu
ッイェ|~tsui~e
ッウェ|~tsuu~e
ッヴェ|~tsuvu~e
ッシェ|sshe
ッジェ|jje
ッチェ|tche
ッツェ|ttsu~e
